Epoch, Phase, Loss, Accuracy, Precision, Recall, F1-Score
0, Training, 1.0302, 0.5760, 0.5748, 0.5760, 0.5745
0, Testing, 1.1702, 0.5545, 0.6188, 0.5545, 0.5457
1, Training, 0.7273, 0.7253, 0.7251, 0.7253, 0.7250
1, Testing, 0.8633, 0.6499, 0.6550, 0.6499, 0.6246
2, Training, 0.6097, 0.7770, 0.7750, 0.7770, 0.7756
2, Testing, 0.6833, 0.7239, 0.7212, 0.7239, 0.7203
3, Training, 0.5265, 0.8051, 0.8050, 0.8051, 0.8047
3, Testing, 1.0139, 0.6720, 0.7150, 0.6720, 0.6286
4, Training, 0.4415, 0.8409, 0.8406, 0.8409, 0.8404
4, Testing, 1.0867, 0.6552, 0.6879, 0.6552, 0.6139
5, Training, 0.4192, 0.8489, 0.8478, 0.8489, 0.8480
5, Testing, 0.4929, 0.8108, 0.8195, 0.8108, 0.8118
6, Training, 0.3623, 0.8738, 0.8732, 0.8738, 0.8733
6, Testing, 0.5742, 0.7780, 0.8308, 0.7780, 0.7852
7, Training, 0.2424, 0.9189, 0.9191, 0.9189, 0.9187
7, Testing, 0.2313, 0.9245, 0.9244, 0.9245, 0.9236
8, Training, 0.1975, 0.9352, 0.9349, 0.9352, 0.9350
8, Testing, 0.2340, 0.9161, 0.9169, 0.9161, 0.9146
9, Training, 0.1770, 0.9401, 0.9400, 0.9401, 0.9400
9, Testing, 0.2652, 0.9047, 0.9079, 0.9047, 0.9027
10, Training, 0.1453, 0.9522, 0.9521, 0.9522, 0.9521
10, Testing, 0.1697, 0.9458, 0.9467, 0.9458, 0.9459
11, Training, 0.1196, 0.9611, 0.9610, 0.9611, 0.9611
11, Testing, 0.1831, 0.9405, 0.9419, 0.9405, 0.9403
12, Training, 0.1127, 0.9646, 0.9646, 0.9646, 0.9646
12, Testing, 0.1564, 0.9420, 0.9423, 0.9420, 0.9414
13, Training, 0.1132, 0.9660, 0.9660, 0.9660, 0.9660
13, Testing, 0.2551, 0.9222, 0.9261, 0.9222, 0.9208
14, Training, 0.0620, 0.9830, 0.9831, 0.9830, 0.9830
14, Testing, 0.1252, 0.9619, 0.9624, 0.9619, 0.9616
15, Training, 0.0574, 0.9855, 0.9855, 0.9855, 0.9855
15, Testing, 0.1135, 0.9672, 0.9678, 0.9672, 0.9670
16, Training, 0.0478, 0.9865, 0.9865, 0.9865, 0.9865
16, Testing, 0.1071, 0.9687, 0.9692, 0.9687, 0.9686
17, Training, 0.0509, 0.9855, 0.9855, 0.9855, 0.9855
17, Testing, 0.1054, 0.9695, 0.9700, 0.9695, 0.9693
18, Training, 0.0416, 0.9870, 0.9870, 0.9870, 0.9870
18, Testing, 0.1293, 0.9634, 0.9646, 0.9634, 0.9630
19, Training, 0.0404, 0.9870, 0.9870, 0.9870, 0.9870
19, Testing, 0.0995, 0.9710, 0.9712, 0.9710, 0.9708
20, Training, 0.0358, 0.9902, 0.9902, 0.9902, 0.9902
20, Testing, 0.0901, 0.9756, 0.9758, 0.9756, 0.9755
21, Training, 0.0318, 0.9918, 0.9918, 0.9918, 0.9918
21, Testing, 0.0935, 0.9733, 0.9736, 0.9733, 0.9731
22, Training, 0.0345, 0.9897, 0.9897, 0.9897, 0.9897
22, Testing, 0.0901, 0.9748, 0.9750, 0.9748, 0.9747
23, Training, 0.0251, 0.9928, 0.9928, 0.9928, 0.9928
23, Testing, 0.0984, 0.9733, 0.9737, 0.9733, 0.9731
24, Training, 0.0285, 0.9921, 0.9921, 0.9921, 0.9921
24, Testing, 0.0982, 0.9733, 0.9736, 0.9733, 0.9732
